metricId,old_label,label,shortLabel,unit,unit_basis,flags
overtime_hours,Overtime Hours,Overtime Hours,Overtime Hours,hours,formula,
pr_mentions,PR Mentions,Press Mentions,PR Mentions,count,formula,
pr_merge_time,PR Merge Time,Pull Request Merge Time,PR Merge Time,hours,formula,
recruiting_pipeline,Recruiting Pipeline,Active Candidates,Recruiting Pipeline,count,formula,
referral_sessions,Referral Sessions,Referral Sessions,Referral Sessions,count,formula,
remote_work_rate,Remote Work %,Remote and Hybrid Work Rate,Remote Work %,rate,formula,
sam,SAM,Serviceable Addressable Market,SAM,currency,description,
separations,Separations,Employee Separations,Separations,count,formula,
shareholder_equity,Shareholder Equity,Shareholder Equity,Shareholder Equity,currency,formula,
sm_spend,S&M Spend,S&M Spend,S&M Spend,currency,formula,
work_orders,Work Orders,Work Orders,Work Orders,count,formula,
survey_response_rate,Survey Response %,Survey Response Rate,Survey Response %,rate,formula,
tam,TAM,Total Addressable Market,TAM,currency,description,
testimonials_count,Testimonials,Customer Testimonials,Testimonials,count,formula,
total_assets,Total Assets,Total Assets,Total Assets,currency,formula,
total_debt,Total Debt,Total Debt,Total Debt,currency,formula,
total_liabilities,Total Liabilities,Total Liabilities,Total Liabilities,currency,formula,
trial_signups,Trial Signups,Trial Signups,Trial Signups,count,formula,
competitive_win_rate,Competitive Win %,Competitive Win Rate,Competitive Win %,rate,formula,
complaints_count,Complaints,Customer Complaints,Complaints,count,formula,
headcount_fte,Headcount FTE,Full-Time Equivalent Headcount,Headcount FTE,count,formula,"unit: fractional FTEs, still count"
new_hires,New Hires,New Hires,New Hires,count,formula,
rd_headcount,R&D Headcount,R&D Headcount,R&D Headcount,count,formula,
sales_headcount,Sales Headcount,Sales Headcount,Sales Headcount,count,formula,
total_comp_expense,Total Comp Expense,Total Compensation Expense,Total Comp Expense,currency,formula,
ad_clicks,Ad Clicks,Ad Clicks,Ad Clicks,count,formula,
content_published_count,Content Published,Content Assets Published,Content Published,count,formula,
organic_sessions,Organic Sessions,Organic Sessions,Organic Sessions,count,formula,
social_followers,Social Followers,Social Followers,Social Followers,count,formula,
leads,Leads,Leads,Leads,count,formula,
webinar_registrants,Webinar Registrants,Webinar Registrants,Webinar Registrants,count,formula,
incident_count,Incident Count,Incidents,Incident Count,count,formula,
inventory_value,Inventory Value,Inventory Value,Inventory Value,currency,formula,
inventory_items,Inventory Items,Inventory Items,Inventory Items,count,formula,
order_lines,Order Lines,Order Lines,Order Lines,count,formula,
tickets_created,Tickets Created,Tickets Created,Tickets Created,count,formula,
tickets_resolved,Tickets Resolved,Tickets Resolved,Tickets Resolved,count,formula,
arr,ARR,ARR,ARR,currency,formula,
churn_rate,Churn Rate,Churn Rate,Churn %,rate,formula,"known issue: ARR-based, includes downgrades; label kept"
churned_arr,Churned ARR,Churned ARR,Churned ARR,currency,formula,
cohort_churn,Cohort Churn,Cohort Churn Rate,Cohort Churn %,rate,formula,
committed_arr,Committed ARR,Committed ARR,Committed ARR,currency,formula,
contraction_arr,Contraction ARR,Contraction ARR,Contraction ARR,currency,formula,
gross_revenue,Gross Revenue,Gross Revenue,Gross Revenue,currency,formula,
implementation_revenue,Implementation Revenue,Implementation Revenue,Implementation Revenue,currency,formula,
prior_year_revenue,PY Revenue,Prior Year Revenue,PY Revenue,currency,formula,
q1_revenue,Q1 Revenue,Q1 Revenue,Q1 Revenue,currency,formula,
q2_revenue,Q2 Revenue,Q2 Revenue,Q2 Revenue,currency,formula,
q3_revenue,Q3 Revenue,Q3 Revenue,Q3 Revenue,currency,formula,
q4_revenue,Q4 Revenue,Q4 Revenue,Q4 Revenue,currency,formula,
api_calls_total,API Calls (Total),API Calls,API Calls,count,formula,
api_consumers,API Consumers,API Consumers,API Consumers,count,formula,
sprint_velocity,Sprint Velocity,Sprint Velocity,Sprint Velocity,count,formula,"unit: story points per sprint; count, or add a points unit?"
instructional_minutes,Instructional Minutes,Instructional Minutes per Day,Instructional Minutes,minutes,formula,
